subject, block, trial, mu1, mu2, choice, reward, RT, cond 
1,1.0,1.0,-14.0,-7.0,2.0,-7.0,1238.2478714,1
1,1.0,2.0,-14.0,-7.0,1.0,-19.0,700.377941132,1
1,1.0,3.0,-14.0,-7.0,1.0,-14.0,654.445171356,1
1,1.0,4.0,-14.0,-7.0,1.0,-15.0,470.947027206,1
1,1.0,5.0,-14.0,-7.0,1.0,-15.0,520.896911621,1
1,1.0,6.0,-14.0,-7.0,1.0,-21.0,420.675992966,1
1,1.0,7.0,-14.0,-7.0,2.0,-7.0,337.546110153,1
1,1.0,8.0,-14.0,-7.0,1.0,-18.0,404.153108597,1
1,1.0,9.0,-14.0,-7.0,1.0,-13.0,520.618915558,1
1,1.0,10.0,-14.0,-7.0,1.0,-10.0,420.70889473,1
1,2.0,1.0,3.0,8.0,2.0,1.0,971.847057343,2
1,2.0,2.0,3.0,8.0,1.0,3.0,654.411077499,2
1,2.0,3.0,3.0,8.0,2.0,6.0,504.216909409,2
1,2.0,4.0,3.0,8.0,1.0,3.0,604.72202301,2
1,2.0,5.0,3.0,8.0,1.0,3.0,520.940065384,2
1,2.0,6.0,3.0,8.0,2.0,10.0,820.770025253,2
1,2.0,7.0,3.0,8.0,1.0,3.0,437.23487854,2
1,2.0,8.0,3.0,8.0,1.0,3.0,504.112005234,2
1,2.0,9.0,3.0,8.0,1.0,3.0,537.473917007,2
1,2.0,10.0,3.0,8.0,1.0,3.0,686.900138855,2
1,3.0,1.0,-6.0,-5.0,1.0,-12.0,1688.70401382,3
1,3.0,2.0,-6.0,-5.0,2.0,-3.0,420.827150345,3
1,3.0,3.0,-6.0,-5.0,2.0,-5.0,454.097032547,3
1,3.0,4.0,-6.0,-5.0,2.0,-11.0,537.775039673,3
1,3.0,5.0,-6.0,-5.0,1.0,-7.0,404.143095016,3
1,3.0,6.0,-6.0,-5.0,1.0,-4.0,387.565135956,3
1,3.0,7.0,-6.0,-5.0,1.0,-3.0,404.268980026,3
1,3.0,8.0,-6.0,-5.0,1.0,-9.0,470.848798752,3
1,3.0,9.0,-6.0,-5.0,2.0,-8.0,603.563070297,3
1,3.0,10.0,-6.0,-5.0,2.0,1.0,537.166833878,3
1,4.0,1.0,17.0,1.0,1.0,17.0,905.537843704,4
1,4.0,2.0,17.0,1.0,2.0,1.0,953.978061676,4
1,4.0,3.0,17.0,1.0,1.0,17.0,387.669086456,4
1,4.0,4.0,17.0,1.0,1.0,17.0,421.029090881,4
1,4.0,5.0,17.0,1.0,1.0,17.0,587.415218353,4
1,4.0,6.0,17.0,1.0,1.0,17.0,370.783805847,4
1,4.0,7.0,17.0,1.0,1.0,17.0,554.151058197,4
1,4.0,8.0,17.0,1.0,1.0,17.0,454.573154449,4
1,4.0,9.0,17.0,1.0,1.0,17.0,404.10399437,4
1,4.0,10.0,17.0,1.0,1.0,17.0,404.132127762,4
1,5.0,1.0,4.0,5.0,1.0,4.0,1505.23400307,2
1,5.0,2.0,4.0,5.0,2.0,-0.0,370.919942856,2
1,5.0,3.0,4.0,5.0,2.0,2.0,370.826005936,2
1,5.0,4.0,4.0,5.0,1.0,4.0,487.257003784,2
1,5.0,5.0,4.0,5.0,1.0,4.0,354.247808456,2
1,5.0,6.0,4.0,5.0,1.0,4.0,470.833778381,2
1,5.0,7.0,4.0,5.0,2.0,13.0,370.828866959,2
1,5.0,8.0,4.0,5.0,2.0,11.0,337.563991547,2
1,5.0,9.0,4.0,5.0,2.0,-0.0,354.025125504,2
1,5.0,10.0,4.0,5.0,2.0,3.0,354.397058487,2
1,6.0,1.0,4.0,4.0,2.0,4.0,1238.85607719,4
1,6.0,2.0,4.0,4.0,1.0,4.0,454.015016556,4
1,6.0,3.0,4.0,4.0,1.0,4.0,404.183149338,4
1,6.0,4.0,4.0,4.0,1.0,4.0,654.319047928,4
1,6.0,5.0,4.0,4.0,1.0,4.0,374.55701828,4
1,6.0,6.0,4.0,4.0,1.0,4.0,337.565898895,4
1,6.0,7.0,4.0,4.0,1.0,4.0,387.39991188,4
1,6.0,8.0,4.0,4.0,1.0,4.0,354.172945023,4
1,6.0,9.0,4.0,4.0,1.0,4.0,454.216957092,4
1,6.0,10.0,4.0,4.0,1.0,4.0,420.938014984,4
1,7.0,1.0,12.0,6.0,2.0,6.0,1372.11298943,1
1,7.0,2.0,12.0,6.0,1.0,8.0,320.97196579,1
1,7.0,3.0,12.0,6.0,2.0,6.0,370.852947235,1
1,7.0,4.0,12.0,6.0,1.0,3.0,420.54104805,1
1,7.0,5.0,12.0,6.0,2.0,6.0,620.650053024,1
1,7.0,6.0,12.0,6.0,2.0,6.0,520.792007446,1
1,7.0,7.0,12.0,6.0,2.0,6.0,554.070949554,1
1,7.0,8.0,12.0,6.0,2.0,6.0,387.554168701,1
1,7.0,9.0,12.0,6.0,2.0,6.0,487.569093704,1
1,7.0,10.0,12.0,6.0,2.0,6.0,403.498888016,1
1,8.0,1.0,-0.0,-0.0,1.0,1.0,655.613899231,3
1,8.0,2.0,-0.0,-0.0,1.0,-5.0,354.083061218,3
1,8.0,3.0,-0.0,-0.0,2.0,-3.0,336.097002029,3
1,8.0,4.0,-0.0,-0.0,2.0,-4.0,420.715808868,3
1,8.0,5.0,-0.0,-0.0,1.0,1.0,388.089179993,3
1,8.0,6.0,-0.0,-0.0,2.0,12.0,348.873138428,3
1,8.0,7.0,-0.0,-0.0,2.0,8.0,404.191970825,3
1,8.0,8.0,-0.0,-0.0,2.0,-4.0,387.414932251,3
1,8.0,9.0,-0.0,-0.0,1.0,-1.0,521.012067795,3
1,8.0,10.0,-0.0,-0.0,1.0,-1.0,367.011070251,3
1,9.0,1.0,-5.0,3.0,1.0,-5.0,1122.20215797,2
1,9.0,2.0,-5.0,3.0,2.0,2.0,387.715101242,2
1,9.0,3.0,-5.0,3.0,2.0,16.0,354.010105133,2
1,9.0,4.0,-5.0,3.0,2.0,3.0,338.138103485,2
